PARTNAME,SN,DATETIME,OKNG,BININFO,GLOSS1,GLOSS2,GLOSS3,L1,A1,B1,CMC1
Bucket,MJS0000037970871,,,L1-a2,,,,34.0389,1.1733,,
Bucket,MJS0000044428331,,,L1-a2,,,,33.9762,1.2665,,
Bucket,MJS0000044432351,,,L1-a2,,,,33.949,1.1798,,
Bucket,MJS0000045335925,,,L1-a2,,,,33.1544,1.1694,,
Bucket,MJS0000045850823,,,L1-a2,,,,33.9884,1.2397,,
Bucket,MJS0000045919601,,,L1-a2,,,,33.796,1.1514,,
Bucket,MJS0000046056074,,,L1-a2,,,,33.956,1.247,,
Bucket,MJS0000046072624,,,L1-a2,,,,33.312,1.229,,
Bucket,MJS0000046158586,,,L1-a2,,,,33.8198,1.1819,,
Bucket,MJS0000046323078,,,L1-a2,,,,34.0072,1.1798,,
Bucket,MJS0000046422139,,,L1-a2,,,,33.4325,1.1776,,
Bucket,MJS0000046527200,,,L1-a2,,,,33.8966,1.2389,,
Bucket,MJS0000046538582,,,L1-a2,,,,34.0213,1.2805,,
Bucket,MJS0000046542039,,,L1-a2,,,,33.4743,1.1841,,
Bucket,MJS0000046568197,,,L1-a2,,,,33.521,1.223,,
Bucket,MJS0000046578466,,,L1-a2,,,,33.8298,1.2678,,
Bucket,MJS0000046667270,,,L1-a2,,,,33.8743,1.2037,,
Bucket,MJS0000046899277,,,L1-a2,,,,33.841,1.218,,
Bucket,MJS0000046901526,,,L1-a2,,,,33.685,1.263,,
Bucket,MJS0000046920703,,,L1-a2,,,,34.0498,1.1924,,
Bucket,MJS0000046924931,,,L1-a2,,,,33.2808,1.2397,,
Bucket,MJS0000046926394,,,L1-a2,,,,33.8177,1.2726,,
Bucket,MJS0000046944781,,,L1-a2,,,,33.1187,1.2868,,
Bucket,MJS0000046951666,,,L1-a2,,,,33.9287,1.1976,,
Bucket,MJS0000046980576,,,L1-a2,,,,33.3709,1.2732,,
Bucket,MJS0000046989219,,,L1-a2,,,,33.7979,1.2811,,
Bucket,MJS0000047033735,,,L1-a3,,,,33.3334,1.3546,,
Bucket,MJS0000047034159,,,L1-a3,,,,33.177,1.357,,
Bucket,MJS0000047054802,,,L1-a3,,,,33.2043,1.4178,,
Bucket,MJS0000047069281,,,L1-a3,,,,33.224,1.3042,,
Bucket,MJS0000047093463,,,L1-a3,,,,33.7122,1.36,,
Bucket,MJS0000047096446,,,L1-a3,,,,33.6451,1.3148,,
Bucket,MJS0000047096934,,,L1-a3,,,,33.8366,1.3502,,
Bucket,MJS0000047105312,,,L1-a3,,,,33.7036,1.3563,,
Bucket,MJS0000047118112,,,L1-a3,,,,33.2894,1.383,,
Bucket,MJS0000047123645,,,L1-a3,,,,33.2197,1.399,,
Bucket,MJS0000047136002,,,L1-a3,,,,33.57,1.364,,
Bucket,MJS0000047147933,,,L1-a3,,,,33.2394,1.3033,,
Bucket,MJS0000047152825,,,L1-a3,,,,34.0485,1.3185,,
Bucket,MJS0000047170816,,,L1-a3,,,,33.856,1.409,,
Bucket,MJS0000047171852,,,L1-a3,,,,33.733,1.3,,
Bucket,MJS0000047173470,,,L1-a3,,,,33.9929,1.4056,,
Bucket,MJS0000047181561,,,L1-a3,,,,33.1962,1.3229,,
Bucket,MJS0000047181955,,,L1-a3,,,,33.525,1.392,,
Bucket,MJS0000047182080,,,L1-a3,,,,33.9175,1.4099,,
Bucket,MJS0000047200337,,,L1-a3,,,,33.256,1.4097,,
Bucket,MJS0000047202342,,,L1-a3,,,,33.438,1.3,,
Bucket,MJS0000047204670,,,L1-a3,,,,33.7458,1.3981,,
Bucket,MJS0000047205764,,,L1-a3,,,,33.7374,1.324,,
Bucket,MJS0000047206212,,,L1-a3,,,,33.8328,1.4381,,
Bucket,MJS0000047221155,,,L1-a3,,,,33.7218,1.3184,,
Bucket,MJS0000047223389,,,L1-a3,,,,33.0744,1.3883,,
Bucket,MJS0000047225898,,,L1-a3,,,,33.7278,1.3523,,
Bucket,MJS0000047233849,,,L1-a3,,,,33.6986,1.3095,,
Bucket,MJS0000047241489,,,L1-a3,,,,33.1241,1.4134,,
Bucket,MJS0000047243289,,,L1-a3,,,,33.7317,1.3861,,
Bucket,MJS0000047245373,,,L1-a3,,,,34.0112,1.3921,,
Bucket,MJS0000047252633,,,L1-a3,,,,33.374,1.4058,,
Bucket,MJS0000047257015,,,L1-a3,,,,33.58,1.343,,
Bucket,MJS0000047260623,,,L1-a3,,,,33.461,1.3894,,
Bucket,MJS0000047262516,,,L1-a3,,,,33.6809,1.3862,,
Bucket,MJS0000047268736,,,L1-a3,,,,33.4648,1.3341,,
Bucket,MJS0000047270943,,,L1-a3,,,,33.9151,1.3125,,
Bucket,MJS0000047274421,,,L1-a3,,,,33.885,1.32,,
Bucket,MJS0000047274462,,,L1-a3,,,,33.3832,1.4237,,
Bucket,MJS0000047275543,,,L1-a3,,,,33.906,1.323,,
Bucket,MJS0000047278469,,,L1-a3,,,,34.0127,1.3689,,
Bucket,MJS0000047281460,,,L1-a3,,,,33.1064,1.4129,,
Bucket,MJS0000047286019,,,L1-a3,,,,33.2659,1.4191,,
Bucket,MJS0000047287262,,,L1-a3,,,,33.4381,1.3519,,
Bucket,MJS0000047287610,,,L1-a3,,,,33.724,1.324,,
Bucket,MJS0000047291408,,,L1-a3,,,,33.6218,1.3281,,
Bucket,MJS0000047303806,,,L1-a3,,,,33.5358,1.3262,,
Bucket,MJS0000047303991,,,L1-a3,,,,33.924,1.335,,
Bucket,MJS0000047312086,,,L1-a3,,,,33.2956,1.4286,,
