Variable,Target,USL,LSL,Show Limits,Process Importance,Units
203,280.28,280.41,280.15,1,1,mm
204,280.28,280.41,280.15,1,1,mm
211,205.62,205.77,205.47,1,1,mm
212,205.62,205.77,205.47,1,1,mm
213,205.62,205.77,205.47,1,1,mm
214,112.21,112.31,112.11,1,1,mm
215,112.21,112.31,112.11,1,1,mm
216,112.21,112.31,112.11,1,1,mm
219_1,0,0.1,,1,1,mm
219_2,0,0.1,,1,1,mm
219_3,0,0.1,,1,1,mm
219_4,0,0.1,,1,1,mm
223,8.02,8.1,7.94,1,1,mm
224,8.02,8.1,7.94,1,1,mm
225,8.02,8.1,7.94,1,1,mm
226,8.02,8.1,7.94,1,1,mm
227,8.02,8.1,7.94,1,1,mm
