CNC #,MACHINE #,SEQUENCE #,Part #,203,204,211,212,213,214,215,216,219_1,219_2,219_3,219_4,223,224,225,226,227
5,1,1,1-5-1-1,280.3444,280.2584,205.5357,205.5815,205.5629,112.1994,112.2092,112.1739,0.0256,0.0382,0.0327,0.0355,8.0653,8.0309,8.0761,8.0506,8.0683
5,1,2,1-5-1-2,280.3151,280.2637,205.5335,205.5862,205.5627,112.1876,112.2011,112.1604,0.0259,0.033,0.0166,0.0346,8.0537,8.0569,8.0766,8.0505,8.0758
5,1,3,1-5-1-3,280.3206,280.2747,205.5418,205.5983,205.5743,112.2029,112.2089,112.1649,0.027,0.032,0.0344,0.0324,8.0667,8.0518,8.0795,8.0503,8.0668
5,1,4,1-5-1-4,280.3216,280.2682,205.5527,205.5973,205.5855,112.1907,112.1988,112.1585,0.0334,0.0378,0.0381,0.0385,8.041,8.0409,8.0686,8.0387,8.057
5,1,5,1-5-1-5,280.3048,280.2588,205.5415,205.5907,205.5579,112.1893,112.2059,112.1653,0.0206,0.0306,0.0341,0.0314,8.0839,8.0892,8.0659,8.0423,8.1036
5,1,6,1-5-1-6,280.3248,280.2749,205.5543,205.6109,205.5904,112.1977,112.2108,112.1673,0.0227,0.0323,0.2037,0.0363,8.0677,8.0521,8.0741,8.044,8.0582
5,2,1,1-5-2-1,280.3033,280.2711,205.5946,205.6266,205.6306,112.2097,112.2139,112.1974,0.0429,0.0353,0.0456,0.0406,8.0645,8.0611,8.0697,8.0324,8.0598
5,2,2,1-5-2-2,280.2902,280.2617,205.5946,205.5986,205.6262,112.2006,112.202,112.1883,0.0316,0.0376,0.0449,0.041,8.05,8.0381,8.0619,8.0704,8.0548
5,2,3,1-5-2-3,280.307,280.2811,205.6074,205.6489,205.6306,112.2151,112.2276,112.2031,0.0349,0.0358,0.0402,0.033,8.0341,8.0431,8.0612,8.0323,8.0539
5,2,4,1-5-2-4,280.319,280.2729,205.6139,205.6601,205.633,112.2159,112.2348,112.1978,0.0439,0.0301,0.0442,0.0387,8.0498,8.0478,8.0509,8.0241,8.0517
5,2,5,1-5-2-5,280.2959,280.2724,205.6036,205.6405,205.6286,112.2028,112.2191,112.1992,0.0319,0.0356,0.0387,0.0434,8.0762,8.0833,8.0672,8.0355,8.065
5,2,6,1-5-2-6,280.303,280.2791,205.605,205.6451,205.6369,112.1998,112.214,112.1941,0.0471,0.0395,0.0427,0.036,8.0269,8.0428,8.0502,8.0182,8.0521
5,3,1,1-5-3-1,280.2832,280.2614,205.5648,205.587,205.5932,112.1957,112.2007,112.1678,0.0297,0.0343,0.0325,0.0404,8.0484,8.0449,8.0701,8.0658,8.0583
5,3,2,1-5-3-2,280.2692,280.2512,205.5586,205.5929,205.5863,112.1871,112.1978,112.1786,0.0237,0.0234,0.0394,0.0367,8.0519,8.0513,8.0686,8.0499,8.0576
5,3,3,1-5-3-3,280.3005,280.267,205.5639,205.5977,205.5966,112.198,112.2123,112.1774,0.0125,0.0311,0.0369,0.0323,8.0489,8.0463,8.0597,8.062,8.0551
5,3,4,1-5-3-4,280.286,280.2654,205.5668,205.593,205.5958,112.1931,112.1975,112.1746,0.0272,0.0298,0.0374,0.0231,8.0547,8.0598,8.0678,8.0533,8.0596
5,3,5,1-5-3-5,280.29,280.2694,205.5569,205.5874,205.5908,112.1637,112.1795,112.1535,0.0427,0.0371,0.0353,0.039,8.0431,8.0439,8.0648,8.0586,8.0512
5,3,6,1-5-3-6,280.2681,280.2536,205.5571,205.5824,205.5864,112.1894,112.1974,112.1772,0.0283,0.0319,0.0341,0.0333,8.0521,8.0568,8.0719,8.0576,8.0603
5,4,1,1-5-4-1,280.2919,280.2408,205.5917,205.6134,205.6178,112.2069,112.2059,112.189,0.0245,0.0226,0.0318,0.0323,8.0584,8.0479,8.0714,8.0513,8.0672
5,4,2,1-5-4-2,280.2886,280.2443,205.5889,205.615,205.6196,112.2068,112.2176,112.2039,0.0283,0.0275,0.0246,0.0312,8.0582,8.0524,8.0589,8.0574,8.0646
5,4,3,1-5-4-3,280.2853,280.2532,205.581,205.6098,205.6104,112.1924,112.2,112.19,0.0142,0.0217,0.0309,0.0241,8.0525,8.0883,8.071,8.0544,8.1055
5,4,4,1-5-4-4,280.2885,280.2516,205.5958,205.6123,205.6173,112.2087,112.2121,112.1869,0.0248,0.0265,0.0297,0.1006,8.0414,8.0376,8.0526,8.0474,8.0501
5,4,5,1-5-4-5,280.2918,280.2561,205.5847,205.6036,205.608,112.2044,112.1966,112.1802,0.0241,0.0267,0.0347,0.0308,8.0542,8.042,8.061,8.0478,8.0456
5,4,6,1-5-4-6,280.33,280.2471,205.5369,205.5728,205.558,112.1788,112.1997,112.1789,0.0248,0.0248,0.0279,0.0395,8.0588,8.0498,8.0709,8.0624,8.0735
5,5,1,1-5-5-1,280.3458,280.2809,205.5722,205.6032,205.5949,112.2061,112.1961,112.152,0.022,0.026,0.0385,0.0242,8.0807,8.0756,8.0949,8.078,8.0811
5,5,2,1-5-5-2,280.3482,280.2727,205.5628,205.5959,205.5885,112.1952,112.1816,112.1449,0.0238,0.0276,0.0261,0.0246,8.0661,8.0929,8.0786,8.0585,8.0739
5,5,3,1-5-5-3,280.3293,280.2824,205.5825,205.6034,205.6001,112.2117,112.1952,112.1533,0.0238,0.0271,0.035,0.0251,8.0744,8.0649,8.0661,8.0715,8.0645
5,5,4,1-5-5-4,280.3111,280.2705,205.5503,205.585,205.576,112.1821,112.1609,112.1297,0.0607,0.0242,0.0291,0.0226,8.0542,8.0653,8.0615,8.0365,8.0422
5,5,5,1-5-5-5,280.3287,280.272,205.5759,205.5884,205.5912,112.2049,112.1789,112.1488,0.0255,0.0253,0.0261,0.0357,8.0506,8.0785,8.0843,8.0607,8.0677
5,5,6,1-5-5-6,280.332,280.2767,205.5549,205.5875,205.59,112.2108,112.1984,112.1638,0.0224,0.0208,0.0267,0.0217,8.0842,8.0691,8.0942,8.0706,8.0739
5,6,1,1-5-6-1,280.3508,280.2901,205.6069,205.6268,205.6415,112.2016,112.2096,112.2049,0.0333,0.0268,0.0296,0.0335,8.0759,8.0681,8.0631,8.03,8.0688
5,6,1,1-5-6-1,280.3338,280.2872,205.5984,205.6263,205.6276,112.2001,112.2082,112.203,0.0243,0.0272,0.0277,0.0371,8.0546,8.0515,8.0578,8.055,8.0562
5,6,3,1-5-6-3,280.3374,280.2836,205.5952,205.6165,205.6205,112.1956,112.1999,112.2057,0.025,0.0236,0.0216,0.0264,8.0266,8.0268,8.0493,8.0426,8.0417
5,6,4,1-5-6-4,280.3296,280.2624,205.5973,205.6341,205.6352,112.2093,112.2155,112.2065,0.0298,0.0311,0.0348,0.0398,8.0533,8.0461,8.0601,8.05,8.0506
5,6,5,1-5-6-5,280.3252,280.1443,205.6309,205.6296,205.618,112.215,112.2303,112.2291,0.0239,0.028,0.0341,0.0377,8.0351,8.0695,8.046,8.0676,8.0942
5,6,6,1-5-6-6,280.317,280.2516,205.6004,205.6229,205.6313,112.2105,112.2133,112.2144,0.0383,0.0339,0.0282,0.0448,8.0499,8.0657,8.0542,8.0534,8.0468
5,7,1,1-5-7-1,280.3198,280.2076,205.5882,205.6052,205.6095,112.1874,112.1875,112.1716,0.0368,0.0387,0.0558,0.0411,8.0684,8.0546,8.0728,8.0507,8.0529
5,7,2,1-5-7-2,280.3294,280.2559,205.5855,205.6008,205.6206,112.1822,112.1795,112.1765,0.1124,0.0354,0.0449,0.0363,8.0458,8.0729,8.0536,8.0428,8.0504
5,7,3,1-5-7-3,280.3323,280.2568,205.5979,205.6059,205.6215,112.1877,112.1798,112.1679,0.0342,0.0482,0.0415,0.0367,8.0269,8.0259,8.0436,8.0223,8.0316
5,7,4,1-5-7-4,280.3162,280.2453,205.5849,205.6143,205.607,112.1889,112.1906,112.173,0.0251,0.0326,0.0425,0.0313,8.0314,8.0303,8.0286,8.0281,8.0382
5,7,5,1-5-7-5,280.3575,280.2672,205.5738,205.6049,205.6035,112.1453,112.1644,112.1617,0.0318,0.0382,0.0436,0.0326,8.1063,8.0281,8.1075,8.0341,8.0471
5,7,6,1-5-7-6,280.3176,280.2365,205.5679,205.5883,205.596,112.1722,112.1708,112.1565,0.0403,0.0398,0.0494,0.0377,8.0715,8.076,8.0652,8.0589,8.0535
5,8,1,1-5-8-1,280.3006,280.2493,205.5831,205.6097,205.6104,112.2149,112.2106,112.1807,0.0433,0.0697,0.0318,0.0257,8.0765,8.046,8.0649,8.0518,8.0442
5,8,2,1-5-8-2,280.3417,280.2633,205.5336,205.5852,205.5811,112.1739,112.1826,112.1427,0.0245,0.0458,0.0406,0.0386,8.0847,8.0476,8.0456,8.035,8.057
5,8,3,1-5-8-3,280.339,280.2692,205.5423,205.5795,205.5779,112.1795,112.1821,112.1487,0.0242,0.0387,0.0284,0.0286,8.0563,8.0346,8.086,8.0391,8.0639
5,8,4,1-5-8-4,280.33,280.2682,205.5431,205.5722,205.5649,112.1776,112.1727,112.1367,0.0272,0.033,0.0323,0.0349,8.0356,8.0376,8.048,8.0312,8.0497
5,8,5,1-5-8-5,280.2911,280.2672,205.5439,205.5806,205.609,112.1727,112.1774,112.1422,0.0264,0.0293,0.0325,0.0404,8.1063,8.0762,8.0358,8.0091,8.0464
5,8,6,1-5-8-6,280.3296,280.2467,205.5332,205.5636,205.5586,112.1818,112.1775,112.1404,0.026,0.0299,0.0328,0.0397,8.0725,8.0799,8.0699,8.047,8.0737
