dimension_id,target,usl,lsl,gdt_flag
CTF 203,280.28,280.41,280.15,
CTF 204,280.28,280.41,280.15,
CTF 211,205.62,205.77,205.47,
CTF 212,205.62,205.77,205.47,
CTF 213,205.62,205.77,205.47,
CTF 214,114.11,114.21,114.01,
CTF 215,114.11,114.21,114.01,
CTF 216,114.11,114.21,114.01,
CTF 219_1,0,0.1,,
CTF 219_2,0,0.1,,
CTF 219_3,0,0.1,,
CTF 219_4,0,0.1,,
CTF 223,8.02,8.1,7.94,
CTF 224,8.02,8.1,7.94,
CTF 225,8.02,8.1,7.94,
CTF 226,8.02,8.1,7.94,
CTF 227,8.02,8.1,7.94,
CTF 235,0.58,0.66,0.5,
CTF 236,0.58,0.66,0.5,
CTF 238,0.58,0.66,0.5,
CTF 239,0.58,0.66,0.5,
CTF 244,0.58,0.66,0.5,
CTF 245,0.58,0.66,0.5,
CTF 246,0.58,0.66,0.5,
CTF 258,5.91,6.01,5.81,
CTF 259,5.91,6.01,5.81,
CTF 260,5.91,6.01,5.81,
CTF 264,284.52,284.67,284.37,
CTF 265,284.52,284.67,284.37,
CTF 266,284.52,284.67,284.37,
CTF 267,44.96,45.06,44.86,
CTF 268,44.96,45.06,44.86,
CTF 269,44.96,45.06,44.86,
CTF 276,1.4,1.475,1.325,
CTF 277,0,0.15,,
CTF 278,1.425,1.5,1.35,
CTF 279,0,0.075,,
CTF 321,1.6,1.675,1.525,
CTF 323,1.6,1.675,1.525,
CTF 335,0.95,1.025,0.875,
CTF 402,2.4,2.475,2.325,
CTF 402A,6.66,6.76,6.56,
CTF 402B,-94.93,-94.83,-95.03,
CTF 403,2.4,2.475,2.325,
CTF 407,2.4,2.475,2.325,
CTF 407A,207.08,207.18,206.98,
CTF 407B,-3.31,-3.21,-3.41,
CTF 408,2.4,2.475,2.325,
CTF 409,2.4,2.475,2.325,
CTF 411,0.59,0.64,0.54,
CTF 412,2.08,2.13,2.03,
CTF 417,2.18,2.23,2.13,
CTF 436,0.59,0.64,0.54,
CTF 437,0.59,0.64,0.54,
CTF 438,0.59,0.64,0.54,
CTF 439,0.59,0.64,0.54,
CTF 440,0.59,0.64,0.54,
CTF 441,0.59,0.64,0.54,
CTF 442,0.59,0.64,0.54,
CTF 504,5.18,5.23,5.13,
CTF 510,2.19,2.27,2.11,
CTF 515,0.85,0.9,0.8,
CTF 518_1,5.05,5.125,4.975,
CTF 518_2,5.05,5.125,4.975,
CTF 527_1,26.2,26.25,26.15,
CTF 527_2,26.2,26.25,26.15,
CTF 532,53.4,53.45,53.35,
CTF 543,5.18,5.23,5.13,
CTF 545_1,31.98,32.08,31.88,
CTF 545_2,31.98,32.08,31.88,
CTF 601_1,2.66,2.71,2.61,
CTF 601_2,2.66,2.71,2.61,
CTF 602,8.58,8.63,8.53,
CTF 603,0,0.1,-0.1,
CTF 604,8.58,8.63,8.53,
CTF 605_1,3.92,4.02,3.82,
CTF 605_2,3.92,4.02,3.82,
CTF 606_1,43.42,43.52,43.32,
CTF 606_2,43.42,43.52,43.32,
CTF 607,29.76,29.86,29.66,
CTF 608,7.84,7.94,7.74,
CTF 611_1,2.5,2.575,2.425,
CTF 611_2,2.5,2.575,2.425,
CTF 612,1.52,1.64,1.4,
CTF 613,5.12,5.22,5.02,
CTF 614,4.15,4.28,4.02,
CTF 615,1.59,1.74,1.44,
CTF 618,0.75,0.8,0.7,
CTF 623,0,0.1,-0.1,
CTF 624,20.5,20.55,20.45,
CTF 625,1.98,2.03,1.93,
CTF 626,0.75,0.8,0.7,
CTF 717,2.22,2.295,2.145,
CTF 724,3.04,3.115,2.965,
CTF 730,2.22,2.295,2.145,
CTF 731,2.22,2.295,2.145,
CTF 732,2.22,2.295,2.145,
CTF 734,3.04,3.115,2.965,
CTF 802_1,2.6,2.7,2.55,
CTF 802_2,2.6,2.7,2.55,
CTF 802_3,2.6,2.7,2.55,
CTF 803_1.3,14.65,14.7,14.6,
CTF 803_0.5,14.65,14.7,14.6,
CTF 804_1.3,2.95,3,2.9,
CTF 804_0.5,2.95,3,2.9,
CTF 806,0,0.1,-0.1,
CTF 807,5.95,6.025,5.875,
CTF 808_1.3,23.15,23.2,23.1,
CTF 808_0.5,23.15,23.2,23.1,
CTF 809_1.3,2.95,3,2.9,
CTF 809_0.5,2.95,3,2.9,
CTF 811,1.48,1.555,1.405,
CTF 812,11.8,11.875,11.725,
CTF 813_1,1,1.07,0.93,
CTF 813_2,1,1.07,0.93,
CTF 815,4.6,4.7,4.5,
CTF 816,1.6,1.7,1.5,
CTF 817,7.32,7.39,7.25,
CTF 818,10.53,10.65,10.41,
CTF 819,10.53,10.65,10.41,
CTF 820,7.32,7.39,7.25,
CTF 821,6.24,6.36,6.12,
CTF 822,6.24,6.36,6.12,
CTF 905,38.36,38.46,38.26,
CTF 906,5.1,5.2,5,
CTF 909,38.36,38.46,38.26,
CTF 917_1,2.3,2.4,2.2,
CTF 917_2,2.3,2.4,2.2,
CTF 917_3,2.3,2.4,2.2,
CTF 920_1,5.96,6.01,5.91,
CTF 920_2,5.96,6.01,5.91,
CTF 920_3,5.96,6.01,5.91,
CTF 921_1,5.54,5.59,5.49,
CTF 921_2,5.54,5.59,5.49,
CTF 927_1,10.2,10.3,10.1,
CTF 927_2,10.2,10.3,10.1,
CTF 927_3,10.2,10.3,10.1,
CTF 1001,28.51,28.61,28.41,
CTF 1002_1,11.23,11.33,11.13,
CTF 1002_2,11.23,11.33,11.13,
CTF 1003,223.11,223.21,223.01,
CTF 1012_1,0.85,1,0.8,
CTF 1012_2,0.85,1,0.8,
CTF 1014_1,0.05,0.1,0,
CTF 1014_2,0.05,0.1,0,
CTF 1021_1,4.65,4.7,4.6,
CTF 1021_2,4.65,4.7,4.6,
CTF 1101,43,43.1,42.9,
CTF 1102,3.35,3.43,3.27,
CTF 1103,2.27,2.37,2.17,
CTF 1104,3.42,3.52,3.32,
CTF 1105,29.5,30.5,28.5,
CTF 1106,0,0.2,,
CTF 1107_1,2.7,2.77,2.63,
CTF 1107_2,2.7,2.77,2.63,
CTF 1109,2.54,2.62,2.46,
CTF 1110,3.05,3.2,2.9,
CTF 1111,0.53,0.58,0.48,
CTF 1112,3.1,3.2,3,
CTF 1113,2.08,2.13,2.03,
CTF 1114,0,0.2,,
CTF 1121,6.55,6.62,6.48,
CTF 1124,2.85,2.93,2.77,
CTF 1126,3.42,3.52,3.32,
CTF 1127,2.3,2.4,2.2,
CTF 1129,0.05,0.15,-0.05,
CTF 1130,6.65,6.75,6.55,
